City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,taro,-8.3862,115.28,21.03,94,20,0.51,ID,2023-10-03 20:03:25
131,axim,4.8699,-2.2405,25.37,89,44,3.73,GH,2023-10-03 20:03:25
132,oranjemund,-28.55,16.4333,15.53,79,0,2.78,NA,2023-10-03 20:03:25
133,jaciara,-15.9653,-54.9683,36.69,26,57,4.21,BR,2023-10-03 20:03:25
134,lodja,-3.4833,23.4333,22.06,94,85,1.19,CD,2023-10-03 20:03:26
135,siwa oasis,29.2041,25.5195,25.86,36,93,3.06,EG,2023-10-03 20:03:26
136,malindi,-3.2175,40.1191,24.09,88,75,5.14,KE,2023-10-03 20:03:26
137,jilin,43.0,126.0,8.65,89,10,1.54,CN,2023-10-03 20:03:26
138,udachny,66.4167,112.4,-3.64,85,100,7.16,RU,2023-10-03 20:03:26
139,haiku-pauwela,20.9219,-156.3051,28.01,64,20,3.6,US,2023-10-03 20:03:26
140,riobamba,-1.6667,-78.6333,18.23,49,88,2.96,EC,2023-10-03 19:59:07
141,utrik,11.2278,169.8474,28.6,77,79,8.24,MH,2023-10-03 19:58:27
142,santa elena de uairen,4.6167,-61.1333,28.28,49,97,2.54,VE,2023-10-03 20:03:27
143,east ballina,-28.8667,153.5833,19.89,72,100,6.61,AU,2023-10-03 20:03:27
144,egilsstadir,65.2653,-14.3948,5.95,93,75,5.14,IS,2023-10-03 20:03:27
145,brindisi,40.5833,17.6667,21.2,80,0,1.17,IT,2023-10-03 20:03:27
146,magole,-6.3667,37.3667,23.67,73,100,2.64,TZ,2023-10-03 20:03:27
147,port mathurin,-19.6833,63.4167,23.22,77,2,3.36,MU,2023-10-03 20:03:27
148,korsakov,46.6328,142.7813,12.43,84,7,5.81,RU,2023-10-03 20:03:27
149,hamilton,39.1834,-84.5333,31.84,43,20,2.06,US,2023-10-03 20:02:04
150,teknaf,20.8624,92.3058,25.27,92,91,4.19,BD,2023-10-03 20:03:28
151,enniskillen,54.3461,-7.6413,10.74,92,96,3.1,GB,2023-10-03 20:03:28
152,bouca,6.5105,18.2733,21.8,97,100,0.34,CF,2023-10-03 20:03:28
153,dunedin,-45.8742,170.5036,8.78,75,100,1.62,NZ,2023-10-03 20:01:27
154,tongchuanshi,35.0806,109.0897,16.41,84,100,0.69,CN,2023-10-03 20:03:28
155,novosokol'niki,56.3463,30.1578,16.65,72,100,7.2,RU,2023-10-03 20:03:28
156,susuman,62.7833,148.1667,-1.12,70,31,1.79,RU,2023-10-03 20:03:29
157,veinticinco de mayo,-35.4323,-60.1727,14.43,88,100,1.34,AR,2023-10-03 20:03:29
158,al jawf,29.5,38.75,24.59,41,100,4.06,SA,2023-10-03 20:03:29
159,conceicao da barra,-18.5933,-39.7322,26.29,76,100,6.34,BR,2023-10-03 20:03:29
160,kailua-kona,19.6406,-155.9956,29.77,71,40,4.12,US,2023-10-03 19:59:40
161,vorgashor,67.5833,63.95,-0.11,94,61,4.2,RU,2023-10-03 20:03:29
162,malanje,-9.5402,16.341,24.3,55,69,1.64,AO,2023-10-03 20:03:29
163,vadso,70.0744,29.7487,2.49,87,75,3.6,NO,2023-10-03 20:03:29
164,zuunmod,47.7069,106.9528,-5.43,83,4,1.64,MN,2023-10-03 20:03:30
165,port alfred,-33.5906,26.891,16.77,93,7,3.13,ZA,2023-10-03 20:03:30
166,paka,4.6374,103.4368,24.99,94,69,0.0,MY,2023-10-03 20:03:30
167,tafresh,34.692,50.013,15.12,52,51,8.0,IR,2023-10-03 20:03:30
168,pathardi,19.1667,75.1833,23.88,73,63,2.32,IN,2023-10-03 20:03:30
169,tallinn,59.437,24.7535,16.4,99,75,3.6,EE,2023-10-03 20:03:28
170,cill airne,52.05,-9.5167,10.06,95,73,2.79,IE,2023-10-03 20:03:30
171,gizo,-8.103,156.8419,26.77,84,100,2.15,SB,2023-10-03 20:03:30
172,chulucanas,-5.0925,-80.1625,32.77,39,46,3.39,PE,2023-10-03 20:03:30
173,jamestown,42.097,-79.2353,30.01,44,0,1.54,US,2023-10-03 19:59:19
174,bac kan,22.1333,105.8333,23.37,98,11,0.42,VN,2023-10-03 20:03:31
175,san antonio de pale,-1.4014,5.6325,25.53,80,100,3.79,GQ,2023-10-03 20:03:31
176,weno,7.4515,151.8468,25.97,83,40,0.0,FM,2023-10-03 20:03:31
177,paragominas,-2.9667,-47.4833,34.45,35,88,3.21,BR,2023-10-03 20:01:45
178,oundle,52.4809,-0.4673,13.4,76,62,5.66,GB,2023-10-03 20:03:31
179,youghal,51.95,-7.8506,11.56,100,96,4.93,IE,2023-10-03 20:03:31
180,tataouine,32.9297,10.4518,21.1,68,0,4.69,TN,2023-10-03 20:03:32
181,pariaman,-0.619,100.12,23.03,86,100,3.16,ID,2023-10-03 20:00:41
182,jacmel,18.2342,-72.5347,29.91,72,26,1.84,HT,2023-10-03 20:03:32
183,minas de marcona,-15.2119,-75.1103,16.1,79,74,8.18,PE,2023-10-03 20:03:32
184,tocopilla,-22.092,-70.1979,20.6,65,24,6.96,CL,2023-10-03 20:03:32
185,mogadishu,2.0371,45.3438,26.26,88,84,6.78,SO,2023-10-03 20:03:32
186,georgetown,5.4112,100.3354,26.12,92,20,1.03,MY,2023-10-03 20:01:27
187,kose,40.21,39.6511,8.73,88,100,1.74,TR,2023-10-03 20:03:32
188,nova sintra,14.8667,-24.7167,23.51,78,7,2.41,CV,2023-10-03 20:03:32
189,alice springs,-23.7,133.8833,14.75,33,0,6.69,AU,2023-10-03 20:03:33
190,petropavlovsk-kamchatsky,53.0452,158.6483,8.03,96,75,6.71,RU,2023-10-03 20:03:33
191,collie,-33.3667,116.15,6.81,98,4,0.67,AU,2023-10-03 20:03:33
192,katsuura,35.1333,140.3,20.01,72,100,5.52,JP,2023-10-03 20:03:33
193,santa ana,33.7456,-117.8678,32.14,50,20,4.12,US,2023-10-03 19:59:46
